Shannon_entropy,Block-frequency,Chi-square,Label,Filetype
7.997557052,2.65E-262,930.5134411,0,7z-bzip2
7.99948703,0,1728.171999,0,7z-bzip2
7.999634616,0,4837.731564,0,7z-bzip2
7.999872232,0,2672.786276,0,7z-bzip2
7.999375145,0,3307.45177,0,7z-bzip2
7.999404623,0,1032.25162,0,7z-bzip2
7.999827471,0,9998.258594,0,7z-bzip2
7.998623659,0,3527.608617,0,7z-bzip2
7.999451729,0,2541.022944,0,7z-bzip2
7.999693964,0,7180.598209,0,7z-bzip2
7.998275514,0,2266.375443,0,7z-bzip2
7.998795176,6.97E-199,700.0308204,0,7z-bzip2
7.999451486,0,14450.29231,0,7z-bzip2
7.999615346,0,3445.695006,0,7z-bzip2
7.998347418,7.45E-272,1360.493112,0,7z-bzip2
7.997848827,2.97E-288,1438.913764,0,7z-bzip2
7.997940589,0,829.2182491,0,7z-bzip2
7.999733495,0,3690.022637,0,7z-bzip2
7.999535687,3.20E-237,576.2002033,0,7z-bzip2
7.999567313,0,2011.842004,0,7z-bzip2
7.999536031,0,5169.980173,0,7z-bzip2
7.998710654,0,4397.021542,0,7z-bzip2
7.999453316,0,6569.118155,0,7z-bzip2
7.999426433,0,6210.92297,0,7z-bzip2
7.999608486,0,2793.861361,0,7z-bzip2
7.99754951,0,3600.147348,0,7z-bzip2
7.998923747,0,548.1648321,0,7z-bzip2
7.999585129,0,2796.780008,0,7z-bzip2
7.99883295,0,5735.91485,0,7z-bzip2
7.996321811,2.71E-150,908.7730632,0,7z-bzip2
7.999426637,0,2359.950233,0,7z-bzip2
7.999807505,0,1319.038161,0,7z-bzip2
7.998446481,1.76E-165,857.9861324,0,7z-bzip2
7.998297534,0,5850.683958,0,7z-bzip2
7.999736777,0,2060.496208,0,7z-bzip2
7.99652344,4.93E-107,567.8218661,0,7z-bzip2
7.998052033,2.42E-103,521.5387798,0,7z-bzip2
7.999555025,0,3872.649795,0,7z-bzip2
7.999538809,1.31E-270,574.562419,0,7z-bzip2
7.999631892,0,2310.355015,0,7z-bzip2
7.998890939,4.90E-270,1175.519025,0,7z-bzip2
7.999479251,0,3167.689143,0,7z-bzip2
7.9962364,0,3938.361402,0,7z-bzip2
7.996926577,1.66E-51,373.4307908,0,7z-bzip2
7.99886782,0,4575.372137,0,7z-bzip2
7.999830061,0,2354.211405,0,7z-bzip2
7.999739045,0,2493.355581,0,7z-bzip2
7.998512348,1.87E-145,496.9251003,0,7z-bzip2
7.998936443,6.2956745e-317,997.8479328,0,7z-bzip2
7.998648835,0,8186.227291,0,7z-bzip2
7.999604799,0,2621.876293,0,7z-bzip2
7.99954811,0,1644.760374,0,7z-bzip2
7.999570857,0,1561.228959,0,7z-bzip2
7.999047849,0,1260.988511,0,7z-bzip2
7.997727676,0,5017.346841,0,7z-bzip2
7.999493947,0,5832.164427,0,7z-bzip2
7.996818219,0,4088.01717,0,7z-bzip2
7.999142032,0,2907.852995,0,7z-bzip2
7.999057904,1.93E-237,1047.819606,0,7z-bzip2
7.996591205,2.69E-73,350.6879852,0,7z-bzip2
7.999863885,0,2545.234617,0,7z-bzip2
7.999664853,0,957.2596345,0,7z-bzip2
7.999592425,0,1439.823619,0,7z-bzip2
7.999863686,0,1328.195779,0,7z-bzip2
7.999457418,0,1634.678589,0,7z-bzip2
7.999834009,0,1213.077679,0,7z-bzip2
7.999672784,0,4073.016299,0,7z-bzip2
7.998554558,7.48E-84,408.658671,0,7z-bzip2
7.998133263,0,2236.033335,0,7z-bzip2
7.999748248,0,1446.020889,0,7z-bzip2
7.999552131,0,7697.956832,0,7z-bzip2
7.99870298,0,1745.724416,0,7z-bzip2
7.996909082,0,1870.259267,0,7z-bzip2
7.998673337,0,19856.3896,0,7z-bzip2
7.998552356,0,6927.597062,0,7z-bzip2
7.999553234,0,1204.448705,0,7z-bzip2
7.998277058,0,2582.733943,0,7z-bzip2
7.998213295,8.25E-66,395.9965466,0,7z-bzip2
7.998286852,0,3185.98068,0,7z-bzip2
7.999738072,0,1936.301348,0,7z-bzip2
7.999642093,0,1176.543523,0,7z-bzip2
7.999752173,0,1524.005267,0,7z-bzip2
7.999228798,4.54E-249,486.5143222,0,7z-bzip2
7.999615109,0,4774.599249,0,7z-bzip2
7.999657853,0,2749.220966,0,7z-bzip2
7.999788338,0,3491.553114,0,7z-bzip2
7.999221909,0,1960.734002,0,7z-bzip2
7.999792567,0,6169.298903,0,7z-bzip2
7.998809756,0,1707.608788,0,7z-bzip2
7.999547283,0,1056.032067,0,7z-bzip2
7.999630244,0,3642.471493,0,7z-bzip2
7.998859925,0,2096.602152,0,7z-bzip2
7.998130001,3.91E-69,381.6734004,0,7z-bzip2
7.999064307,0,16884.9825,0,7z-bzip2
7.999657492,0,5968.013366,0,7z-bzip2
7.999493221,0,6925.52488,0,7z-bzip2
7.999657259,0,4038.68123,0,7z-bzip2
7.999577439,0,1864.643509,0,7z-bzip2
7.99960653,0,1586.723946,0,7z-bzip2
7.997686938,0,5427.738555,0,7z-bzip2
7.999285493,0.005824578,241.4320648,0,7z-encrypted
7.999924401,0.237831295,235.3747012,0,7z-encrypted
7.999981349,0.761251977,234.6371511,0,7z-encrypted
7.999987528,0.716391617,254.0500435,0,7z-encrypted
7.999938982,0.105065085,290.1134916,0,7z-encrypted
7.999845797,0.070613028,249.827263,0,7z-encrypted
7.999995722,0.0673172,240.1243511,0,7z-encrypted
7.999878299,0.447186417,268.2144631,0,7z-encrypted
7.999936896,0.152856136,273.2819104,0,7z-encrypted
7.999989164,0.75054053,236.857965,0,7z-encrypted
7.999798317,0.787089968,232.0920222,0,7z-encrypted
7.99946952,0.108013376,283.243481,0,7z-encrypted
7.999990633,0.162839187,226.7092643,0,7z-encrypted
7.999970307,0.360828941,250.8198216,0,7z-encrypted
7.999656522,0.54814591,256.3043666,0,7z-encrypted
7.999565404,0.08873807,253.7418975,0,7z-encrypted
7.999256929,0.050111334,271.2607092,0,7z-encrypted
7.999980252,0.650967247,241.7558989,0,7z-encrypted
7.99976694,0.314438942,284.2614885,0,7z-encrypted
7.999941892,0.429545945,258.2810265,0,7z-encrypted
7.999967118,0.523967352,309.3920915,0,7z-encrypted
7.999926196,0.678545421,226.6229578,0,7z-encrypted
7.999973388,0.028894951,293.9198879,0,7z-encrypted
7.999978527,0.115228098,213.358721,0,7z-encrypted
7.999963626,0.799609374,239.9716285,0,7z-encrypted
7.999789678,0.828218046,253.7303394,0,7z-encrypted
7.999572716,0.23329682,203.3386371,0,7z-encrypted
7.999955812,0.682768084,282.9233629,0,7z-encrypted
7.999930109,0.548266816,289.1109413,0,7z-encrypted
7.9987324,0.252654936,275.6979172,0,7z-encrypted
7.999939745,0.920931612,226.6944019,0,7z-encrypted
7.999961256,0.70880772,258.969206,0,7z-encrypted
7.999527962,0.834392125,234.2194691,0,7z-encrypted
7.999894326,0.03370617,306.8876575,0,7z-encrypted
7.999964292,0.095904328,270.7062853,0,7z-encrypted
7.998365,0.093362419,242.3518838,0,7z-encrypted
7.998903978,0.167258543,275.9177129,0,7z-encrypted
7.99996755,0.076536294,259.993174,0,7z-encrypted
7.999803825,0.053336275,237.6216137,0,7z-encrypted
7.999961268,0.955853132,226.3809068,0,7z-encrypted
7.99975102,0.182641984,241.9600726,0,7z-encrypted
7.999953742,0.229950763,262.9913474,0,7z-encrypted
7.999664378,0.24283073,273.8152739,0,7z-encrypted
7.99774967,0.003092529,264.3106943,0,7z-encrypted
7.999925953,0.451192946,261.5225407,0,7z-encrypted
7.999980974,0.874766436,258.4286533,0,7z-encrypted
7.999970183,0.523218911,279.6027565,0,7z-encrypted
7.99930665,0.070052971,216.0255764,0,7z-encrypted
7.999696728,0.550325986,262.6656934,0,7z-encrypted
7.999954701,0.992263131,233.3392504,0,7z-encrypted
7.999958553,0.543278295,256.2613307,0,7z-encrypted
7.999942044,0.567331416,199.963152,0,7z-encrypted
7.999928911,0.823501057,249.1743446,0,7z-encrypted
7.999763268,0.860104106,292.7390419,0,7z-encrypted
7.999845292,0.01018042,281.3463661,0,7z-encrypted
7.999974195,0.046290061,273.815931,0,7z-encrypted
7.99976146,0.054801137,238.5898952,0,7z-encrypted
7.999918569,0.269362992,257.7549006,0,7z-encrypted
7.999719109,0.482262951,285.0150194,0,7z-encrypted
7.996883253,0.061730723,301.3185953,0,7z-encrypted
7.999984575,0.694229116,220.6339242,0,7z-encrypted
7.99991828,0.320956807,223.486232,0,7z-encrypted
7.99992471,0.840641676,257.3055682,0,7z-encrypted
7.999973368,0.662148658,258.1644309,0,7z-encrypted
7.99990902,0.005160129,261.7489256,0,7z-encrypted
7.999955572,0.109553141,269.5005039,0,7z-encrypted
7.999976604,0.149840642,252.8927563,0,7z-encrypted
7.99916421,0.04551717,228.6271042,0,7z-encrypted
7.999756508,0.209227658,265.1095621,0,7z-encrypted
7.999953512,0.01816967,265.3573742,0,7z-encrypted
7.999982818,0.316518035,260.995091,0,7z-encrypted
7.999823433,0.946337354,220.3193895,0,7z-encrypted
7.999513213,0.529522118,249.0669444,0,7z-encrypted
7.999975281,0.602680107,318.3892171,0,7z-encrypted
7.999924452,0.687042172,240.4082011,0,7z-encrypted
7.999901467,0.732756888,248.828484,0,7z-encrypted
7.999822672,0.584955293,226.9617074,0,7z-encrypted
7.998895708,0.131247651,234.4936583,0,7z-encrypted
7.999830535,0.0410918,268.4933786,0,7z-encrypted
7.999956398,0.20536066,275.6978289,0,7z-encrypted
7.999910496,0.070653161,284.4147345,0,7z-encrypted
7.999957327,0.743416883,259.0382149,0,7z-encrypted
7.999595663,0.939799789,243.8487887,0,7z-encrypted
7.999983528,0.191222072,188.6902191,0,7z-encrypted
7.999965695,0.643619301,261.4815888,0,7z-encrypted
7.999982715,0.890143782,275.2423622,0,7z-encrypted
7.999885204,0.782759928,261.228123,0,7z-encrypted
7.999990873,0.955236251,264.1306962,0,7z-encrypted
7.999812836,0.537303072,246.8673103,0,7z-encrypted
7.999868538,0.86079764,292.1903812,0,7z-encrypted
7.999974977,0.483005625,229.3910999,0,7z-encrypted
7.999857717,0.039329736,231.802745,0,7z-encrypted
7.998715971,0.362534285,253.4514664,0,7z-encrypted
7.999982188,0.487653203,272.0486492,0,7z-encrypted
7.999984588,0.841032272,252.4213126,0,7z-encrypted
7.999978015,0.043692728,278.4020287,0,7z-encrypted
7.999977396,0.583394911,254.8220074,0,7z-encrypted
7.999930731,0.074420601,286.1867992,0,7z-encrypted
7.999920109,0.952536628,247.0249052,0,7z-encrypted
7.999863471,0.173649402,254.3191851,0,7z-encrypted
7.999231949,0.605649928,259.9560404,0,7z-highcompress
7.99974957,9.62E-161,783.4030746,0,7z-highcompress
7.999648003,0,4433.001306,0,7z-highcompress
7.999191423,0,16591.66873,0,7z-highcompress
7.999893261,0,507.4324513,0,7z-highcompress
7.999103791,1.78E-194,1455.896797,0,7z-highcompress
7.997044861,0,170769.7623,0,7z-highcompress
7.999863257,4.41E-33,300.6730918,0,7z-highcompress
7.999246685,0,3260.381116,0,7z-highcompress
7.996444558,0,83363.54002,0,7z-highcompress
7.999717552,1.15E-30,325.4485824,0,7z-highcompress
7.999530476,0.531191707,250.7663145,0,7z-highcompress
7.999930715,0,1685.416009,0,7z-highcompress
7.999443208,0,4695.808877,0,7z-highcompress
7.999703678,0.021884134,221.1601629,0,7z-highcompress
7.99727015,3.07E-12,1625.932371,0,7z-highcompress
7.999242691,0.005629925,274.4079851,0,7z-highcompress
7.99713114,0,35378.99351,0,7z-highcompress
7.999732063,0.092091135,327.3036928,0,7z-highcompress
7.999945935,0.205100506,240.4246093,0,7z-highcompress
7.999824647,3.71E-34,1650.266035,0,7z-highcompress
7.999912405,0.197698111,268.7521686,0,7z-highcompress
7.999368104,0,7022.068077,0,7z-highcompress
7.999858921,1.97E-26,1399.246991,0,7z-highcompress
7.999644544,2.55E-300,2344.289767,0,7z-highcompress
7.999801528,0.000294527,239.3492013,0,7z-highcompress
7.999417254,0.809495387,277.3414137,0,7z-highcompress
7.997210484,0,19536.56893,0,7z-highcompress
7.999910617,1.41E-09,369.5829784,0,7z-highcompress
7.998793454,0.578572876,263.296586,0,7z-highcompress
7.997250871,0,11948.57551,0,7z-highcompress
7.997218557,0,19246.1944,0,7z-highcompress
7.999509793,0.477941055,243.1680737,0,7z-highcompress
7.999653475,1.27E-133,1017.999254,0,7z-highcompress
7.998710479,1.83E-111,9870.789556,0,7z-highcompress
7.998184343,0.013170981,269.2809848,0,7z-highcompress
7.998907429,0.592906193,274.2727653,0,7z-highcompress
7.999578687,0,3395.918632,0,7z-highcompress
7.999464337,0,649.9235644,0,7z-highcompress
7.9995767,0,2489.973275,0,7z-highcompress
7.999720072,0.576589777,272.0231016,0,7z-highcompress
7.999821132,0,1023.122122,0,7z-highcompress
7.999456349,1.35E-15,443.9224139,0,7z-highcompress
7.997922093,0.353157038,244.1189887,0,7z-highcompress
7.999791853,0,733.4968046,0,7z-highcompress
7.99589323,0,58894.68926,0,7z-highcompress
7.964050632,0,327774.5292,0,7z-highcompress
7.999313987,0.654946222,214.2551051,0,7z-highcompress
7.999702341,0.060351277,258.0005589,0,7z-highcompress
7.999614229,1.75E-15,1994.125541,0,7z-highcompress
7.999489764,0,3181.135834,0,7z-highcompress
7.988983858,0,39755.19364,0,7z-highcompress
7.998619643,0,4924.801504,0,7z-highcompress
7.999789417,0.518211429,260.044592,0,7z-highcompress
7.999819715,0,327.7587252,0,7z-highcompress
7.99908678,0,9951.171115,0,7z-highcompress
7.999587264,6.07E-56,414.5223204,0,7z-highcompress
7.999528692,1.979608717e-315,1497.929689,0,7z-highcompress
7.999438514,6.53E-17,570.1603314,0,7z-highcompress
7.997090013,0.050723233,279.9702497,0,7z-highcompress
7.999592076,0,5849.999729,0,7z-highcompress
7.993088914,1.22E-99,19089.63001,0,7z-highcompress
7.984634794,0,54204.70017,0,7z-highcompress
7.989959041,0,102835.9964,0,7z-highcompress
7.999921762,0.796245324,225.0178722,0,7z-highcompress
7.996159545,0,24996.31203,0,7z-highcompress
7.999617947,0,4134.462424,0,7z-highcompress
7.998994646,0.603271956,274.2627179,0,7z-highcompress
7.996840843,8.30E-33,3655.458894,0,7z-highcompress
7.982090767,0,113562.6172,0,7z-highcompress
7.999911938,0,1341.657152,0,7z-highcompress
7.996424968,1.19E-178,4526.78824,0,7z-highcompress
7.999487357,0.288026619,262.1506375,0,7z-highcompress
7.999939206,0,783.2989243,0,7z-highcompress
7.999653317,9.54E-249,1105.545253,0,7z-highcompress
7.993338745,0,17191.45992,0,7z-highcompress
7.999474076,0,675.5750256,0,7z-highcompress
7.998973741,0.314412515,217.8385998,0,7z-highcompress
7.999764582,9.35E-68,372.0976166,0,7z-highcompress
7.999558588,0,2797.616641,0,7z-highcompress
7.999866882,6.86E-72,424.8541545,0,7z-highcompress
7.999161556,0,5099.688208,0,7z-highcompress
7.999139718,3.88E-104,517.9685806,0,7z-highcompress
7.999922218,0,890.1312787,0,7z-highcompress
7.999092984,0,7051.912533,0,7z-highcompress
7.999199496,0,12965.66647,0,7z-highcompress
7.999397938,0,1372.844797,0,7z-highcompress
7.996294183,0,116239.4142,0,7z-highcompress
7.999784011,0.336344996,284.4640196,0,7z-highcompress
7.999807301,1.51E-263,427.9494818,0,7z-highcompress
7.999697922,5.28E-121,2791.889386,0,7z-highcompress
7.999684392,0,514.1470721,0,7z-highcompress
7.998859215,0.112082327,225.9259324,0,7z-highcompress
7.999813292,0,2898.32771,0,7z-highcompress
7.998242629,0,29207.98236,0,7z-highcompress
7.999900085,0,1274.270352,0,7z-highcompress
7.99915693,0,9686.65333,0,7z-highcompress
7.999675703,0,1338.111887,0,7z-highcompress
7.999887733,4.78E-199,346.823273,0,7z-highcompress
7.999523948,0.990522541,887.1569054,0,7z-highcompress
7.999196903,0.285408533,271.6731836,0,7z-lzma
7.999921522,0.009646985,244.984902,0,7z-lzma
7.999980189,0.488462559,249.6362161,0,7z-lzma
7.999986495,0.867048724,277.0416925,0,7z-lzma
7.999944626,0.062794349,263.2546937,0,7z-lzma
7.999842637,0.207613913,255.7203695,0,7z-lzma
7.999996018,0.733073764,224.803584,0,7z-lzma
7.99989122,0.001609085,239.3930682,0,7z-lzma
7.999946893,0.229992742,231.7579235,0,7z-lzma
7.99998965,0.804221612,227.2874748,0,7z-lzma
7.999732104,0.892555905,308.5217985,0,7z-lzma
7.999606073,0.272747859,210.3357092,0,7z-lzma
7.999988714,0.646651885,273.4218125,0,7z-lzma
7.999969476,0.185802539,258.2785609,0,7z-lzma
7.999694882,0.006214269,227.6225039,0,7z-lzma
7.999565775,0.541195428,253.2960196,0,7z-lzma
