filename,entropy,block-frequency,chi-square,label
0001-7z-bzip2.7z,7.60496026,0,3421.25,0
0002-7z-bzip2.7z,6.910297827,0,8743.875,0
0003-7z-bzip2.7z,7.160647099,0,6401.25,0
0004-7z-bzip2.7z,7.044789692,0,7401.25,0
0005-7z-bzip2.7z,6.723725271,0,10750.125,0
0006-7z-bzip2.7z,6.981589328,0,8070.75,0
0007-7z-bzip2.7z,7.32242744,0,4831.5,0
0008-7z-bzip2.7z,6.777493509,0,10315.125,0
0009-7z-bzip2.7z,6.913576063,0,8697.125,0
0010-7z-bzip2.7z,6.974251139,0,8101.375,0
0011-7z-bzip2.7z,6.768986752,0,10205.375,0
0012-7z-bzip2.7z,7.4091046,0,5190.75,0
0013-7z-bzip2.7z,6.851444537,0,8900.125,0
0014-7z-bzip2.7z,6.914965386,0,8737.875,0
0015-7z-bzip2.7z,7.207456809,0,6295.625,0
0016-7z-bzip2.7z,7.139304147,0,7455.25,0
0017-7z-bzip2.7z,7.704793552,0,2354.25,0
0018-7z-bzip2.7z,6.666777921,0,11261.625,0
0019-7z-bzip2.7z,6.921464787,0,8759.125,0
0020-7z-bzip2.7z,7.046012856,0,7268.25,0
0021-7z-bzip2.7z,7.172450987,0,5971.25,0
0022-7z-bzip2.7z,6.918269124,0,8803.125,0
0023-7z-bzip2.7z,7.292145353,0,5403.875,0
0024-7z-bzip2.7z,7.142414493,0,6530.75,0
0025-7z-bzip2.7z,6.858470055,0,9329.25,0
0026-7z-bzip2.7z,6.917103521,0,8234.125,0
0027-7z-bzip2.7z,7.584726368,0,4138.75,0
0028-7z-bzip2.7z,7.085663915,0,7126.125,0
0029-7z-bzip2.7z,7.088055116,0,7199,0
0030-7z-bzip2.7z,7.761404097,0,1963.75,0
0031-7z-bzip2.7z,7.478292085,0,4541.875,0
0032-7z-bzip2.7z,7.113147751,0,6891.625,0
0033-7z-bzip2.7z,7.478037186,0,4727.125,0
0034-7z-bzip2.7z,6.936941931,0,8195,0
0035-7z-bzip2.7z,7.107254246,0,6796,0
0036-7z-bzip2.7z,7.818544278,0,1516.75,0
0037-7z-bzip2.7z,7.783539463,0,1806.75,0
0038-7z-bzip2.7z,7.048440555,0,7348.125,0
0039-7z-bzip2.7z,6.998326119,0,7724.875,0
0040-7z-bzip2.7z,6.898123727,0,9034.625,0
0041-7z-bzip2.7z,6.940197925,0,8187.25,0
0042-7z-bzip2.7z,6.891235173,0,8822.5,0
0043-7z-bzip2.7z,6.70281655,0,10791.625,0
0044-7z-bzip2.7z,7.882616699,1.16E-227,885.25,0
0045-7z-bzip2.7z,7.057390755,0,7109.75,0
0046-7z-bzip2.7z,7.07066985,0,6802,0
0047-7z-bzip2.7z,6.89924413,0,9233.75,0
0048-7z-bzip2.7z,7.705922395,0,2636.625,0
0049-7z-bzip2.7z,7.010410643,0,7598,0
0050-7z-bzip2.7z,7.06334218,0,7036.25,0
0051-7z-bzip2.7z,6.99334599,0,7518.75,0
0052-7z-bzip2.7z,7.029539279,0,7297.375,0
0053-7z-bzip2.7z,6.939151556,0,8645.5,0
0054-7z-bzip2.7z,6.94308377,0,8307.625,0
0055-7z-bzip2.7z,6.720514323,0,10368.75,0
0056-7z-bzip2.7z,7.247782808,0,5494.375,0
0057-7z-bzip2.7z,7.228453645,0,5519.5,0
0058-7z-bzip2.7z,6.836609301,0,9367.75,0
0059-7z-bzip2.7z,6.998120792,0,7700.875,0
0060-7z-bzip2.7z,7.901607882,3.68E-159,649.625,0
0061-7z-bzip2.7z,7.155698559,0,6204.75,0
0062-7z-bzip2.7z,6.956821781,0,8596.875,0
0063-7z-bzip2.7z,7.171565122,0,6388.125,0
0064-7z-bzip2.7z,7.091889652,0,7310.125,0
0065-7z-bzip2.7z,7.275901285,0,5611.625,0
0066-7z-bzip2.7z,7.171191898,0,6313.625,0
0067-7z-bzip2.7z,7.315393396,0,4783.625,0
0068-7z-bzip2.7z,7.759121871,0,1848.375,0
0069-7z-bzip2.7z,6.995544233,0,7765.125,0
0070-7z-bzip2.7z,6.769561056,0,10604.5,0
0071-7z-bzip2.7z,7.147838026,0,6411.625,0
0072-7z-bzip2.7z,6.994137755,0,7832.875,0
0073-7z-bzip2.7z,7.356030842,0,5509.125,0
0074-7z-bzip2.7z,6.57488331,0,12804.375,0
0075-7z-bzip2.7z,6.906045202,0,8850.125,0
0076-7z-bzip2.7z,7.023648874,0,7885.875,0
0077-7z-bzip2.7z,6.91659837,0,8721.875,0
0078-7z-bzip2.7z,7.822024974,2.20E-291,1500.875,0
0079-7z-bzip2.7z,6.929147164,0,8482.875,0
0080-7z-bzip2.7z,6.570396305,0,12999,0
0081-7z-bzip2.7z,7.129720954,0,6594.625,0
0082-7z-bzip2.7z,6.936086454,0,8769.75,0
0083-7z-bzip2.7z,7.435588507,0,4938.25,0
0084-7z-bzip2.7z,6.922565489,0,8510.375,0
0085-7z-bzip2.7z,7.370060359,0,4593.75,0
0086-7z-bzip2.7z,7.064386564,0,7534.25,0
0087-7z-bzip2.7z,7.060206934,0,7367.875,0
0088-7z-bzip2.7z,7.30838095,0,5271.5,0
0089-7z-bzip2.7z,7.045872695,0,7458.75,0
0090-7z-bzip2.7z,7.093285145,0,6889.625,0
0091-7z-bzip2.7z,7.073916682,0,7549.375,0
0092-7z-bzip2.7z,6.957048138,0,8041,0
